,Site,Lat,Lon,Elev,Climate,continent,country_code
104890,Lopburi,15.266667,101.187361,49.28,Aw,Asia,TH
104902,Osaka-North,34.774,135.51,50.0,Cfa,Asia,JP
104922,DRAGON_GangneungWNU,37.771,128.867,60.0,Dfb,Asia,KR
104984,Upington,-28.379,21.156,865.0,BWh,Africa,ZA
105022,Maun_Tower,-19.9,23.55,951.0,BSh,Africa,BW
105208,Univ_of_Nevada-Reno,39.540867,-119.814033,1410.0,Csb,North America,US
105421,Suffield,50.28155,-111.130771,761.772,BSk,North America,CA
105441,Puli,23.96856,120.96689,446.0,Cwa,Asia,TW
105442,Mobile_N_050608,26.50624,80.43907,103.0,Cwa,Asia,IN
105444,GSFC,38.9925,-76.839833,87.0,Cfa,North America,US
106772,DRAGON_Porterville,36.03179,-119.05505,136.0,BSk,North America,US
106779,KORUS_Taehwa,37.31248,127.31033,152.0,Dwa,Asia,KR
106818,SACOL,35.946,104.137083,1965.8,BSk,Asia,CN
107943,Djougou,9.76007,1.59901,467.0,Aw,Africa,BJ
109167,Al_Qlaa,24.133333,53.033333,5.0,BWh,Asia,AE
109282,La_Palma,28.486667,-17.848611,630.0,As,Europe,ES
109285,Tunis_Carthage,36.838719,10.199781,10.0,Csa,Africa,TN
109667,Saturn_Island,48.775252,-123.128177,193.0,Csb,North America,CA
109771,ETNA_VENA,37.7905,15.1386,735.0,Csa,Europe,IT
109781,Birdsville,-25.89893,139.34596,46.5,BWh,Oceania,AU
109796,Mingo,36.9717,-90.1432,111.0,Cfa,North America,US
109829,PKU_PEK,39.593,116.184,66.0,Cwa,Asia,CN
109856,Caillouel_COBIACC,49.619914,3.12681,53.0,Cfb,Europe,FR
109869,DRAGON_PATUX,38.827168,-76.70938,26.0,Cfa,North America,US
109886,Abu_Dhabi,24.476111,54.328889,7.0,BWh,Asia,AE
109891,Sao_Paulo,-23.5615,-46.734983,786.0,Cfb,South America,BR
110368,DRAGON_PineyOrchard,39.060781,-76.719202,59.0,Cfa,North America,US
110387,Lake_Okeechobee,26.9017,-80.7892,9.0,Cfa,North America,US
110390,DRAGON_Ina,35.8475,137.96125,683.0,Dfb,Asia,JP
110408,Doi_Ang_Khang,19.93245,99.0454,1536.0,Aw,Asia,TH
111073,Welgegund,-26.569444,26.939167,1480.0,BSk,Africa,ZA
111151,Tukurui,-3.716666,-49.683331,100.0,Am,South America,BR
111152,Hyytiala,61.846447,24.295892,191.0,Dfc,Europe,FI
111171,Valladolid_Sci,41.6562,-4.7148,701.0,Csb,Europe,ES
111183,NEON_TALL,32.950461,-87.393269,165.0,Cfa,North America,US
111270,Chiayi,23.495975,120.495975,62.0,Aw,Asia,TW
112202,Ben_Salem,35.55055,9.914003,130.0,BSk,Africa,TN
112608,Brookhaven,40.866,-72.8847,37.0,Cfa,North America,US
112783,DRAGON_CTNVL,39.275833,-76.771944,133.0,Cfa,North America,US
112795,T1_MAX_MEX,19.703067,-98.98195,2272.0,Cwb,North America,MX
112799,ARM_Highlands_MA,42.030478,-70.049317,47.8536,Cfb,North America,US
112808,Cabo_da_Roca,38.781722,-9.497667,136.0,Csb,Europe,PT
112919,Dibrugarh_Univ,27.45085,94.896889,119.0,Cwa,Asia,IN
113307,Lubango,-14.958,13.445,2047.0,Aw,Africa,AO
114179,Trivandrum,8.533333,76.866667,4.0,Am,Asia,IN
114192,Dalma,24.502222,52.331667,16.0,BWh,Asia,AE
114386,Yufa_PEK,39.309,116.184,20.0,BSk,Asia,CN
114432,Hamim,22.966667,54.3,105.0,BWh,Asia,AE
115327,Lake_Lefroy,-31.255,121.705,300.0,BSh,Oceania,AU
115329,Tabernas_PSA-DLR,37.09076,-2.35818,500.0,BSk,Europe,ES
115497,Migal,33.236394,35.578278,200.0,Csa,Asia,IL
115924,DRAGON_Pylesville,39.67515,-76.405349,158.0,Cfa,North America,US
